Level,brba,brbv,brbponda,brbpondv,brmbra,brmbrv,farmba,farmbv,southa,southv,maga,magv,northa,northv,northponda,northpondv
4196.5,7097.109572,2914.592625,0,0,0,0,39342.11414,54454.38159,458232.1153,7572308.382,23747.03037,66825.4082,310990.1897,4460619.094,2910.05095,3817.481099
4197,12177.46593,7817.470931,0,0,0,0,44653.00569,75445.46751,465973.9655,7803318.229,24743.82319,78956.80353,318297.6036,4617910.298,3402.726441,5374.727679
4197.5,16741.63256,15052.74044,0,0,0.002367472,0.000202159,50829.20122,99742.39254,473990.2748,8038896.089,25601.01343,91543.80359,330179.139,4781715.183,5265.103655,7746.638527
4198,20590.14878,24423.85134,0.316163533,0.043992088,0.016682844,0.004504235,55583.41315,126320.162,479688.3497,8277283.501,26535.37514,104565.9667,335677.3282,4948135.198,6340.463263,10641.39852
4198.5,23935.50798,35497.73888,1.243569267,0.333722861,0.05409295,0.020235813,61033.5803,155853.2153,488773.2495,8520107.465,27447.79329,118060.1138,348089.3281,5120395.567,8516.829073,14534.82485
4199,27523.24877,48335.86183,2.383356054,1.123555716,1.794683323,0.31641639,64987.97269,187342.9482,495101.4364,8766042.19,28426.54514,132044.2951,355499.0163,5296259.391,10072.28951,19174.77302
4199.5,31482.46208,63006.90305,3.825875529,2.494523742,5.977699498,2.12426716,71407.02651,221874.0408,504001.9079,9016218.977,29480.28502,146516.0608,364767.1812,5477245.081,12565.87494,25093.34461
4200,36595.79153,79999.02254,2364.719987,229.7696185,25.58805627,7.676858339,76170.71945,258771.1638,515817.881,9270560.429,30703.90787,161578.7909,370375.6847,5661038.419,14045.60267,31748.68292
4200.5,44270.3606,100570.9791,5221.431093,2646.424439,2757.8191,1017.976263,79802.85335,297834.5506,527794.5096,9533630.031,32839.11518,177482.9695,373476.0541,5847227.124,14207.94825,38835.06527
4201,51222.92489,124386.747,6480.88826,5476.032852,3072.976894,2468.025873,85729.91742,338021.3995,532650.8996,9798419.769,34393.95701,194309.5484,375318.1755,6034421.604,14721.81988,46047.73239
4201.5,61270.57253,152649.3399,7977.270887,9027.457658,16479.93496,9454.400843,87236.32366,381278.3849,537921.6628,10066164.53,36006.44812,211901.2089,380221.1974,6223262.696,15820.4206,53690.33046
4202,70349.6537,185721.2344,10516.81549,13520.66784,17544.2175,17974.04119,89995.42244,425651.9225,542764.8422,10336370.28,37332.07247,230268.6147,384601.1051,6414536.163,16266.47806,61703.68897
4202.5,76047.68455,222360.6911,11934.94968,19089.23448,18926.36024,27125.69716,91440.52694,471017.4954,547039.9595,10608909.05,38633.07103,249256.408,390120.8245,6608061.413,16967.30725,69999.95909
4203,81167.35684,261640.7382,14238.68555,25540.07035,19765.78171,36812.58499,95101.04033,517449.8555,550633.9599,10883389.61,39759.35619,268869.3568,393731.4429,6803958.769,17363.85589,78577.5056
4203.5,85572.8433,303399.6385,15345.40932,32903.14559,20931.81453,47012.33292,96548.25797,565371.1796,555629.816,11159988.18,41828.13944,289139.7464,401623.0244,7002414.102,18152.79958,87442.68822
4204,87998.66672,346831.0211,17190.58192,40967.29106,21840.76265,57700.8766,99085.82534,614417.277,560333.4688,11439052.53,43248.65223,310380.5084,407691.4274,7204643.707,18693.20575,96652.62103
4204.5,89422.08964,391177.5552,18309.75257,49810.78064,23922.3072,69254.11101,101196.4795,664494.7178,566229.8965,11720858.01,48431.38527,333463.7234,418377.0787,7411200.827,20013.18119,106336.7143
4205,91300.4316,436291.1131,19716.38714,59322.83187,25373.03963,81532.36589,104794.2689,716004.0915,571590.2451,12005372.35,50452.70737,358168.8614,424282.3425,7621817.704,20947.10442,116585.8532
4205.5,92673.03075,482273.2871,20271.67622,69314.49545,29897.97322,95640.45399,105797.5885,768658.0667,574459.8581,12291977.59,54575.51736,384842.4815,432108.9531,7836378.764,22891.54461,127604.5832
4206,94097.35156,528950.9543,20772.44971,79568.57522,31877.13998,111131.1642,107039.5658,821869.3739,576749.9822,12579778.41,55548.12684,412369.4557,435178.8559,8053211.56,23932.07665,139331.7949
4206.5,95213.00539,576275.2062,21105.28367,90030.87351,37639.08719,129243.7669,107916.693,875608.3907,578870.1731,12868689.67,56826.63966,440469.6422,439447.1249,8271935.279,25957.60901,151884.949
4207,96329.21058,624161.6548,21490.27379,100681.8293,39661.27734,148445.7371,110544.601,930103.6496,581530.5872,13158816.48,57709.14252,469108.2534,442069.5627,8492338.505,26534.35306,165023.5228
4207.5,98023.5608,672833.0517,21744.55774,111490.6835,41222.17177,168684.0842,111780.2336,985696.7587,583914.8056,13450113.76,59489.68805,498481.9054,445890.7152,8714439.267,27471.52937,178556.2571
4208,99466.91281,722184.4686,22122.86101,122462.1453,42580.70446,189597.8867,112929.5443,1041880.208,586349.6501,13742695.93,60876.19546,528596.2642,448717.9453,8938125.66,27905.09009,192418.0085
4208.5,100525.123,772181.7472,22357.27168,133584.8206,44104.08442,211247.6551,113989.0431,1098612.152,589085.8508,14036556.6,64173.78943,559995.8601,453816.1102,9163938.821,28029.51903,206416.1918
4209,102079.1258,822804.321,22751.4262,144873.8356,47830.30252,233885.8982,115885.2071,1156037.231,591964.6616,14331815.38,66177.09859,592601.3169,458746.7173,9392110.145,28072.99098,220442.4474
4209.5,103478.58,874178.0586,22940.41866,156301.9069,50895.59949,258602.8653,117757.3785,1214344.59,595163.4411,14628527.73,68731.03555,626350.8362,465683.0302,9623344.446,28097.30196,234485.9998
4210,110443.9325,926846.5843,23137.75194,167838.8372,56922.01208,284991.9332,124150.7024,1274644.425,600842.5065,14927228.16,70819.59235,661218.416,478988.4766,9858308.101,28112.83424,248538.6116
4210.5,111711.1241,982389.8483,23146.00903,179413.6404,58951.81922,314077.6004,126183.3926,1337230.455,604056.844,15228604.34,73117.50208,697396.1694,483724.9077,10099281.57,28119.12924,262596.8167
4211,113066.1312,1038576.821,23151.94719,190995.6372,60226.15067,343881.9514,127422.511,1400635.284,605481.9807,15530990.5,73855.58355,734141.4865,488799.2881,10342472.85,28122.82004,276657.2993
4211.5,113975.0209,1095331.908,23158.90618,202579.4555,61422.87371,374318.0548,128594.5327,1464633.884,606774.8529,15834060.98,74563.89648,771248.2255,490958.7965,10587396.14,28125.73618,290719.4581
4212,115065.1775,1152583.587,23166.76197,214167.1775,62666.21599,405319.5681,129512.7678,1529152.651,607827.1778,16137705.41,75118.83325,808668.0386,493301.7577,10833430.35,28128.24587,304782.9487
4212.5,115888.5144,1210315.569,23172.21471,225758.9847,63728.22619,436948.233,131409.5133,1594192.657,608927.199,16441891.17,75754.80511,846381.5846,495080.9925,11080515.18,28130.50826,318847.6536
4213,116957.259,1268506.668,23175.00482,237350.4598,64937.28179,469073.0556,132992.5154,1660288.21,610803.1035,16746806.68,76415.40743,884432.1847,497256.4658,11328569.63,28132.55848,332913.5206
4213.5,117890.8119,1327201.263,23176.8321,248941.9895,65877.27144,501764.0469,134409.406,1727141.509,612093.7022,17052529.76,77144.39066,922819.3241,499216.4663,11577672.47,28134.38559,346980.3082
4214,119186.9254,1386456.98,23178.23548,260532.0344,67312.08266,535013.5878,135970.5195,1794735.842,613721.5799,17358978.63,77979.19922,961579.3303,502049.6919,11827932.17,28136.01771,361047.9724
4214.5,120499.8853,1446352.966,23179.46497,272121.4786,68493.43972,568944.3285,137953.9885,1863205.476,615519.4213,17666296.52,78930.22386,1000801.26,504724.211,12079607.97,28137.50026,375116.4735
4215,125135.9267,1507609.111,23180.33896,283711.4721,71057.28521,603682.176,141639.666,1933126.197,619168.273,17974972.3,81383.28867,1040724.638,510683.2057,12333068.92,28138.74828,389185.6424
4215.5,126992.7747,1570650.169,23181.00676,295301.8938,71880.47263,639417.8065,143625.5352,2004503.454,625024.4113,18286477.8,84442.72383,1082675.753,512976.2432,12589094.81,28139.69566,403255.3308
4216,128375.1556,1634494.56,23181.38022,306892.6897,72820.26361,675583.2747,144806.999,2076620.507,627353.2455,18599591.48,84874.69548,1125010.27,514348.7113,12845948.05,28140.47008,417325.4391
