"Date","S_Level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3"
"1916-04-01",4202.5,4202.5,1280.922,1280.922,3124638526.34622,1647485669.19225,14282585046.8728,8237559660.84414,22520144707.7169
"1916-05-01",4202.9,4202.9,1281.04392,1281.04392,3171065362.98415,1660459273.20096,14666944522.5051,8439339682.28716,23106284204.7923
"1916-06-01",4202.8,4202.8,1281.01344,1281.01344,3159458653.82462,1657215872.19877,14570854653.5967,8388894676.92622,22959749330.5229
"1916-07-01",4202.6,4202.6,1280.95248,1280.95248,3136245235.50566,1650729070.19442,14378674915.7805,8288004666.20471,22666679581.9852
"1916-08-01",4202.2,4202.2,1280.83056,1280.83056,3090397521.55685,1632380933.10602,13999355296.3695,8088188453.82485,22087543750.1944
"1916-09-01",4201.6,4201.6,1280.64768,1280.64768,3005825053.4519,1606686564.24649,13440933468.5231,7791947328.3376,21232880796.8607
"1916-10-01",4201.3,4201.3,1280.55624,1280.55624,2938839272.34192,1593065001.34872,13169009416.5212,7645835183.46207,20814844599.9832
"1916-11-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1916-12-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1917-01-01",4201.5,4201.5,1280.6172,1280.6172,2990388770.5571,1602780428.04596,13348532969.9785,7742782248.13553,21091315218.114
"1917-02-01",4201.6,4201.6,1280.64768,1280.64768,3005825053.4519,1606686564.24649,13440933468.5231,7791947328.3376,21232880796.8607
"1917-03-01",4201.9,4201.9,1280.73912,1280.73912,3052133902.13585,1618404972.848,13718134964.1558,7939442568.94312,21657577533.0989
"1917-04-01",4202.3,4202.3,1280.86104,1280.86104,3101811189.81994,1637415845.13475,14093765213.2037,8137978856.16449,22231744069.3682
"1917-05-01",4202.8,4202.8,1281.01344,1281.01344,3159458653.82462,1657215872.19877,14570854653.5967,8388894676.92622,22959749330.5229
"1917-06-01",4203.1,4203.1,1281.10488,1281.10488,3194071156.89656,1670728691.29194,14860914384.2748,8540931720.33238,23401846104.6072
"1917-07-01",4203.4,4203.4,1281.19632,1281.19632,3228268411.15531,1691806742.55825,15154554362.8592,8694372818.38555,23848927181.2448
"1917-08-01",4203.2,4203.2,1281.13536,1281.13536,3205470241.64945,1677754708.38069,14958794377.136,8592078753.01664,23550873130.1527
"1917-09-01",4202.7,4202.7,1280.98296,1280.98296,3147851944.66518,1653972471.19661,14474764784.6889,8338449671.56565,22813214456.2546
"1917-10-01",4202.5,4202.5,1280.922,1280.922,3124638526.34622,1647485669.19225,14282585046.8728,8237559660.84414,22520144707.7169
"1917-11-01",4202.3,4202.3,1280.86104,1280.86104,3101811189.81994,1637415845.13475,14093765213.2037,8137978856.16449,22231744069.3682
"1917-12-01",4202.5,4202.5,1280.922,1280.922,3124638526.34622,1647485669.19225,14282585046.8728,8237559660.84414,22520144707.7169
"1918-01-01",4202.6,4202.6,1280.95248,1280.95248,3136245235.50566,1650729070.19442,14378674915.7805,8288004666.20471,22666679581.9852
"1918-02-01",4202.9,4202.9,1281.04392,1281.04392,3171065362.98415,1660459273.20096,14666944522.5051,8439339682.28716,23106284204.7923
"1918-03-01",4203.1,4203.1,1281.10488,1281.10488,3194071156.89656,1670728691.29194,14860914384.2748,8540931720.33238,23401846104.6072
"1918-04-01",4203.5,4203.5,1281.2268,1281.2268,3239667495.9082,1698832759.64701,15252434355.7204,8745519851.06982,23997954206.7902
"1918-05-01",4203.5,4203.5,1281.2268,1281.2268,3239667495.9082,1698832759.64701,15252434355.7204,8745519851.06982,23997954206.7902
"1918-06-01",4203.4,4203.4,1281.19632,1281.19632,3228268411.15531,1691806742.55825,15154554362.8592,8694372818.38555,23848927181.2448
"1918-07-01",4203.1,4203.1,1281.10488,1281.10488,3194071156.89656,1670728691.29194,14860914384.2748,8540931720.33238,23401846104.6072
"1918-08-01",4202.9,4202.9,1281.04392,1281.04392,3171065362.98415,1660459273.20096,14666944522.5051,8439339682.28716,23106284204.7923
"1918-09-01",4202.4,4202.4,1280.89152,1280.89152,3113224858.08304,1642450757.16348,14188175130.0379,8187769258.50413,22375944388.542
"1918-10-01",4202.1,4202.1,1280.80008,1280.80008,3078983853.29367,1627346021.07725,13904945379.5346,8038398051.48484,21943343431.0195
"1918-11-01",4201.9,4201.9,1280.73912,1280.73912,3052133902.13585,1618404972.848,13718134964.1558,7939442568.94312,21657577533.0989
"1918-12-01",4202,4202,1280.7696,1280.7696,3067570185.03057,1622311109.04852,13810535462.7004,7988607649.1452,21799143111.8456
"1919-01-01",4202.2,4202.2,1280.83056,1280.83056,3090397521.55685,1632380933.10602,13999355296.3695,8088188453.82485,22087543750.1944
"1919-02-01",4202.3,4202.3,1280.86104,1280.86104,3101811189.81994,1637415845.13475,14093765213.2037,8137978856.16449,22231744069.3682
"1919-03-01",4202.5,4202.5,1280.922,1280.922,3124638526.34622,1647485669.19225,14282585046.8728,8237559660.84414,22520144707.7169
"1919-04-01",4202.7,4202.7,1280.98296,1280.98296,3147851944.66518,1653972471.19661,14474764784.6889,8338449671.56565,22813214456.2546
"1919-05-01",4202.7,4202.7,1280.98296,1280.98296,3147851944.66518,1653972471.19661,14474764784.6889,8338449671.56565,22813214456.2546
"1919-06-01",4202.6,4202.6,1280.95248,1280.95248,3136245235.50566,1650729070.19442,14378674915.7805,8288004666.20471,22666679581.9852
"1919-07-01",4202,4202,1280.7696,1280.7696,3067570185.03057,1622311109.04852,13810535462.7004,7988607649.1452,21799143111.8456
"1919-08-01",4201.5,4201.5,1280.6172,1280.6172,2990388770.5571,1602780428.04596,13348532969.9785,7742782248.13553,21091315218.114
"1919-09-01",4201.1,4201.1,1280.49528,1280.49528,2887289774.12694,1583349574.6515,12989485863.0645,7548888118.78898,20538373981.8535
"1919-10-01",4200.8,4200.8,1280.40384,1280.40384,2829776803.10674,1574677979.78589,12728476695.9839,7404492109.33381,20132968805.3177
"1919-11-01",4200.7,4200.7,1280.37336,1280.37336,2813907692.15053,1572771039.02742,12642853000.8083,7356530870.77486,19999383871.5832
"1919-12-01",4200.7,4200.7,1280.37336,1280.37336,2813907692.15053,1572771039.02742,12642853000.8083,7356530870.77486,19999383871.5832
"1920-01-01",4200.8,4200.8,1280.40384,1280.40384,2829776803.10674,1574677979.78589,12728476695.9839,7404492109.33381,20132968805.3177
"1920-02-01",4200.9,4200.9,1280.43432,1280.43432,2845645914.06306,1576584920.54438,12814100391.16,7452453347.89312,20266553739.0531
"1920-03-01",4201.2,4201.2,1280.52576,1280.52576,2913064523.23443,1588207288.00011,13079247639.7928,7597361651.12553,20676609290.9184
"1920-04-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1920-05-01",4201.7,4201.7,1280.67816,1280.67816,3021261336.34651,1610592700.44698,13533333967.0671,7841112408.53932,21374446375.6064
"1920-06-01",4202,4202,1280.7696,1280.7696,3067570185.03057,1622311109.04852,13810535462.7004,7988607649.1452,21799143111.8456
"1920-07-01",4201.9,4201.9,1280.73912,1280.73912,3052133902.13585,1618404972.848,13718134964.1558,7939442568.94312,21657577533.0989
"1920-08-01",4201.5,4201.5,1280.6172,1280.6172,2990388770.5571,1602780428.04596,13348532969.9785,7742782248.13553,21091315218.114
"1920-09-01",4201.1,4201.1,1280.49528,1280.49528,2887289774.12694,1583349574.6515,12989485863.0645,7548888118.78898,20538373981.8535
"1920-10-01",4200.7,4200.7,1280.37336,1280.37336,2813907692.15053,1572771039.02742,12642853000.8083,7356530870.77486,19999383871.5832
"1920-11-01",4200.9,4200.9,1280.43432,1280.43432,2845645914.06306,1576584920.54438,12814100391.16,7452453347.89312,20266553739.0531
"1920-12-01",4201.1,4201.1,1280.49528,1280.49528,2887289774.12694,1583349574.6515,12989485863.0645,7548888118.78898,20538373981.8535
"1921-01-01",4201.3,4201.3,1280.55624,1280.55624,2938839272.34192,1593065001.34872,13169009416.5212,7645835183.46207,20814844599.9832
